date, game, status, home_team, home_score, away_team, away_score
2026-04-21, Houston Astros at Cleveland Guardians, Scheduled, Cleveland Guardians, 0, Houston Astros, 0
2026-04-21, Cincinnati Reds at Tampa Bay Rays, Scheduled, Tampa Bay Rays, 0, Cincinnati Reds, 0
2026-04-21, Milwaukee Brewers at Detroit Tigers, Scheduled, Detroit Tigers, 0, Milwaukee Brewers, 0
2026-04-21, St. Louis Cardinals at Miami Marlins, Scheduled, Miami Marlins, 0, St. Louis Cardinals, 0
2026-04-21, Atlanta Braves at Washington Nationals, Scheduled, Washington Nationals, 0, Atlanta Braves, 0
2026-04-21, New York Yankees at Boston Red Sox, Scheduled, Boston Red Sox, 0, New York Yankees, 0
2026-04-21, Minnesota Twins at New York Mets, Scheduled, New York Mets, 0, Minnesota Twins, 0
2026-04-21, Baltimore Orioles at Kansas City Royals, Scheduled, Kansas City Royals, 0, Baltimore Orioles, 0
2026-04-21, Philadelphia Phillies at Chicago Cubs, Scheduled, Chicago Cubs, 0, Philadelphia Phillies, 0
2026-04-21, Pittsburgh Pirates at Texas Rangers, Scheduled, Texas Rangers, 0, Pittsburgh Pirates, 0
2026-04-21, San Diego Padres at Colorado Rockies, Scheduled, Colorado Rockies, 0, San Diego Padres, 0
2026-04-21, Toronto Blue Jays at Los Angeles Angels, Scheduled, Los Angeles Angels, 0, Toronto Blue Jays, 0
2026-04-21, Athletics Athletics at Seattle Mariners, Scheduled, Seattle Mariners, 0, Athletics, 0
2026-04-21, Chicago White Sox at Arizona Diamondbacks, Scheduled, Arizona Diamondbacks, 0, Chicago White Sox, 0
2026-04-21, Los Angeles Dodgers at San Francisco Giants, Scheduled, San Francisco Giants, 0, Los Angeles Dodgers, 0
2026-04-21, Houston Astros at Cleveland Guardians, Scheduled, Cleveland Guardians, 0, Houston Astros, 0
2026-04-21, Cincinnati Reds at Tampa Bay Rays, Scheduled, Tampa Bay Rays, 0, Cincinnati Reds, 0
2026-04-21, Milwaukee Brewers at Detroit Tigers, Scheduled, Detroit Tigers, 0, Milwaukee Brewers, 0
